AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=101 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1968512848 guest_counter_ticks=36662703 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=102 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1968712530 guest_counter_ticks=36862385 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=103 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1968752682 guest_counter_ticks=36902537 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=104 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1968952280 guest_counter_ticks=37102135 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=105 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1968992684 guest_counter_ticks=37142539 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=106 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1969192394 guest_counter_ticks=37342249 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=107 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1969232595 guest_counter_ticks=37382450 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=108 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1969432368 guest_counter_ticks=37582223 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=109 vm=1 vcpu=1 pcpu=2 physical_irq=27 virtual_irq=27 host_counter_ticks=1969472380 guest_counter_ticks=37622235 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=110 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1969673154 guest_counter_ticks=37823009 forwarding_ticks=14 injected=1
